country,iso_code,year,mismanaged_waste_per_capita,gdp_per_capita,population,continent,log_gdp,log_mismanaged_waste
Tonga,TON,2010,0.176,4984.19,104000,Oceania,3.6976,-0.7545
Trinidad and Tobago,TTO,2010,0.19,31260.91,1328000,North America,4.495,-0.7212
Tunisia,TUN,2010,0.088,10436.37,10635000,Africa,4.0185,-1.0555
Turkey,TUR,2010,0.039,17959.26,72327000,Asia,4.2543,-1.4088
Turks and Caicos Islands,TCA,2010,0.006,15628.59,33000,North America,4.1939,-2.2211
Tuvalu,TUV,2010,0.108,2986.45,11000,Oceania,3.4752,-0.9665
Ukraine,UKR,2010,0.052,7824.5,45792000,Europe,3.8935,-1.2839
United Arab Emirates,ARE,2010,0.004,57232.62,8550000,Asia,4.7576,-2.3969
United Kingdom,GBR,2010,0.004,36366.98,63460000,Europe,4.5607,-2.3969
United States,USA,2010,0.007,49374.18,309011008,North America,4.6935,-2.1543
Uruguay,URY,2010,0.024,17082.4,3359000,South America,4.2325,-1.6196
Vanuatu,VUT,2010,0.245,2948.03,236000,Oceania,3.4695,-0.6108
Venezuela,VEN,2010,0.017,16544.97,28440000,South America,4.2187,-1.7693
Vietnam,VNM,2010,0.09,4408.17,87968000,Asia,3.6443,-1.0457
Yemen,YEM,2010,0.077,4478.74,23155000,Asia,3.6512,-1.1135
